Labels,Translation,Decision
"Military uniform, Soldier, Army, Military, Military officer, Military person, Uniform, Military organization, Military rank, Troop",The Turkish army decided to recruit those with special needs in Turkey for one day only to achieve their dreams and these photos were. # Al-Quds Newspaper # Palestine # Turkey # Turkish Army # Photo Today,real
"People in nature, Photograph, Rock, Sky, Photography, Cloud, Stock photography, Fun, Sitting, Happy",Crying bride ... inverted tulip flowers in Turkey!,real
"Bat, big brown bat, Wildlife, Little Brown Myotis, Little red flying fox, common pipistrelle","The Indian bat, known as the flying fox, is the largest species in the world embracing its young while flying in search of food and shelter. # Al-Quds Newspaper # Palestine # The Indian bat",real
"People in nature, Tree, Beauty, Wilderness, Branch, Botany, Woody plant, Plant, Trunk, Fun","Duchess Kate Middleton and Prince William in a new photo session with their children Prince George, Princess Charlotte and Prince Lowe. # Al-Quds Newspaper # Palestine # Kate_ Middleton # Prince_William #Miscellaneous",real
"Purple, Cool, Pattern, Electric blue, Textile, Photography, Art, Magenta, Window, Visual arts","If you meet a colored glass, you never miss the opportunity and imagine it in front of it, as the results are very exquisite .. # Al-Quds Newspaper # Palestine # Photography # Miscellaneous # Today's Image",real
"Face, Masque, Mask, Head, Carving, Mouth, Costume, Headgear, Art, Sculpture",The National Museum of Jakarta reflects the cultural and ethnic diversity of Indonesia,real
"Furniture, Table, Sitting, Room, Textile, Homemaker, Peach, Happy, Photo caption",For women only: Is it true that pregnant women have reached the stage of fusion of love for soap ?! Tell us about the strangest things that you came close to when you became pregnant?,fake
"Dish, Food, Cuisine, Ingredient, Produce, Staple food, Meat, Meal, Recipe, Vegetarian food",Alexander Kebab is one of the most delicious Turkish food .. # Al-Quds Newspaper # Palestine # Ramadan,real
"People, Crowd, Community, Event, Spring, Public space, Sitting, Urban area, Lawn, Grass",The collective tables .. a Ramadan atmosphere for Malaysians,fake
"Dome, Dome, Light, Night, Landmark, Sky, Lighting, Architecture, Building, Mosque",Video and photos Excerpts from Tarawih prayer in the blessed Al-Aqsa Mosque,real
"Ballroom, Building, Decoration, Ceiling, Function hall, Interior design, Lighting, Architecture, Room, Chandelier",From inside Al-Hasayneh Mosque located inside the Gaza port. Photography: Ahmed Kamal # Al-Quds Newspaper # Ramadan # Gaza,fake
"Tire, Automotive tire, Auto part, Automotive wheel system, Wheel, Synthetic rubber, Pottery, Rim, Tread",This young man makes beds for cats and dogs from old car tires # Al-Quds Newspaper # Palestine # Miscellaneous,fake
"Human settlement, City, Mecca, Architecture","See the most wonderful pictures and great shots from different angles of the Grand Mosque in Mecca .. We ask God for you and a close visit, God willing.",real
"Food, Cuisine, Dish, Barbecue, Grilling, Roasting, Street food, Churrasco food, Yakitori, Delicacy",Liver grills ... Ramadan meal decorating the fasting tables of southern Turkey,real
"Tree, Natural landscape, Nature, Vegetation, Natural environment, Nature reserve, Forest, Woody plant, Woodland, Old-growth forest",An island in Northern Ireland invites fans of the Thrones conflict to visit the places of filming the series and wear heroes' clothes in support of tourism # Jerusalem_Island #Palestine #Ireland #Tourism,real
"Mecca, Holy places, Pilgrimage, Human settlement, City, Crowd, Event, Mosque, Khanqah, Building","A Saudi photographer from the sons of Makkah Al-Mukarramah was able to present professional photos of the Grand Mosque in amazing scenes, embodying the magnificence and spirituality of the place, with advanced photography methods in which he demonstrated his ability to produce aesthetic excellence. # Al-Quds Newspaper # Palestine # Makkah Al-Mukarramah # Saudi Arabia",real
"Crowd, People, Audience, Event, Night, Tourism, Festival, City",Evening and Tarawih prayers from the blessed Al-Aqsa Mosque - 05/23/2019,real
"People, Youth, Community, Passenger, Event, Crowd, Tourism, Child, Travel, Leisure",Qalandia checkpoint on the third Friday of the holy month of Ramadan # Al-Quds newspaper # Palestine # Ramadan # Friday,real
"People, Crowd, Vehicle, Tourism, Fan, Stunt",This happiness that children expect after Friday prayers ... where worshipers are sprayed with water to relieve heat ... # Al-Quds Newspaper # Palestine # Al-Aqsa Mosque,fake
"Singer, Microphone, Chin, Music artist, Singing, Human, Performance, Music, Performing arts",British Prime Minister Theresa May shed tears as she reads her resignation statement because she failed to fulfill the desires of the people # Jerusalem newspaper # Palestine # Theresa_May,fake
"Purple, Water, Bucket","Hebron: Daoud al-Golani, 50, is a natural Ramadan drink. Photography: Samar Badr / # Wafa # # Al-Quds Newspaper # Palestine # Local",fake
"Poster, Movie, Album cover, Cg artwork",The series #The Kingdom of Roma leads the YouTube trend # The Jerusalem newspaper # Ramadan series,fake
"Blue, Metropolitan area, Architecture, Landmark, Building, City, Urban area, Human settlement, Metropolis, Skyscraper",Magic of Islamic decoration in Uzbekistan # Al-Quds newspaper # Palestine # Uzbekistan # Islamic decoration,real
"Dome, Fun, World, Street stunts, Leisure, Sport venue","A picture of a Palestinian father and his son in the Al-Aqsa Mosque titled, Photographed by the bosom of the father and the bosom of the Al-Aqsa Photo by Mahmoud Matan # Al-Quds Newspaper # Palestine # The Al-Aqsa Mosque",real
"Soldier, Military, Army, Infantry, Military organization, Military uniform, Uniform","The occupation army publishes a video of the largest tunnel discovered by Hezbollah !! The tunnel was discovered during the recent operation on the border, and the army will destroy what it considered the longest, deepest and largest tunnel of Hezbollah, according to the Reshet of Cannes.",real
"Job, Businessperson, Event, Selfie, Technology, White-collar worker, Electronic device, Gadget, Business, World",Pictures: The Israeli Knesset dissolves itself and new elections next September,real
"Art, Event, Dress, Costume design, Place of worship, Painting, Stock photography, Gown, Tradition, Church","Masquerade evening at the Palace of Versailles in the French capital, Paris",real
"Metropolitan area, Urban area, City, Cityscape, Metropolis, Sky, Night, Human settlement, Landmark, Skyline","See Mecca from the sky in special pictures of Saudi security planes during the month of Ramadan, turning the sky of Makkah Al-Mukarramah and the roads leading to it into an open space to carry out aerial survey work, especially during peak times.",real
"Art, Wall, Street, Infrastructure, Alley, Visual arts, Street art, Road",My little spoilers in Gaza sounds a permanent union,real
"Crowd, People, Audience, Event, Community, Tree, Plant, Festival, City, Tourism",Thousands of worshipers flock to the blessed Al-Aqsa Mosque since morning # Al-Quds Newspaper # Al-Aqsa # Ramadan # Friday_ Orphan,fake
"People, Crowd, Event, Pilgrimage, Tourism, Audience",General Director of Awqaf Sheikh Azzam Al-Khatib: Despite the conditions surrounding Jerusalem and the heat wave ... more than 260 thousand prayers last Friday of Ramadan and the number is expected to rise significantly with the revival of Laylat al-Qadr # Newspaper # Jerusalem # Palestine # Al-Aqsa,fake
"Event, Crowd, Ceremony, Ritual, Rite","Egyptian President Abdel-Fattah El-Sisi performs Umrah during his stay yesterday in Makkah Al-Mukarramah, just before the start of the Arab summit",real
"Sports, Sports equipment, Team sport, Ball game, Soccer, Player, Football player, Sport venue, Soccer player, Tournament","The Egyptian Arab star # Mohamed_ Salah is a player # Liverpool is training with the English team in Madrid in preparation for the meeting # Tottenham tomorrow, Saturday in the final of the European Champions League for the 2018-2019 season # Jerusalem newspaper",real
"Crowd, People, Event, Community, Sky, Audience, Night, World, Metal","Between Friday prayers and Laylat al-Qadr ... Al-Aqsa Mosque receives about 400,000 worshipers",real
"Dress, Beauty, Gown, Fashion, Shoulder, Haute couture, Joint, Fashion design, Costume design, Event",A mother made from vegetables and fruits Dresses for her daughter Turkish mother used fruits and vegetables and flowers and smart photography to create wonderful dresses for her daughter suitable for walking on the red carpet Dresses of fruit and vegetables earned by thousands of followers,real
"Rock, Fish",Gaza .. The Fasikh season begins as Eid Al Fitr approaches,fake
"Red mulberry, Mulberry, Berry, Fruit, Plant, Frutti di bosco, West Indian raspberry , Loganberry, Natural foods, Tayberry",Photos # Wild berries in Palestine announce his arrival in this season of this year .. It is considered one of the most delicious fruits that begins its appearance with the beginnings of summer .. It is distinguished by its different colors and its wonderful taste .. And berries trees are widely spread around homes and the Palestinians are especially interested in them .. Share with us pictures of trees and fruits Which berries you have,real
"Team, Product, Sky, Championship, Competition event, Fan, Competition, Event, Crowd, Performance",Liverpool is on the throne of Europe,real
"People, Crowd, Community, Event, Tree, Tourism, Team",More than a thousand settlers storm the Al-Aqsa Mosque on the anniversary of the occupation of Jerusalem,real
"Drawing, Forehead, Illustration, Chin, Sketch, Moustache, Portrait, Painting, Art, Cool",A child gives Mohamed Salah a set of different drawings after winning the European Championship,fake
"Marketplace, Market, Bazaar, Selling, Public space, Natural foods, Human settlement, Local food, City, Stall",Eid sweets and chocolates from the Gaza market to greet Eid Al Fitr during the next two days,real
"Tradition, Fashion accessory, Souvenir",Handicrafts on pottery from Salfit .. # Al-Quds Newspaper # Palestine # Handmade_Salfit #,real
"People, Event, Pray, Community, Crowd, Adaptation, Pilgrimage, Ceremony",Eid prayer in some Arab countries ... # Jerusalem newspaper # Palestine # Eid al-Fitr # Eid prayer,real
"Event, Food, Dish, Cuisine, Crowd, Eating, Meal, Team",Erdogan performs Eid Al-Fitr prayers and addresses sweets in Istanbul # Al-Quds Newspaper # Palestine # Turkey # Erdogan,real
"Aerial photography, Human settlement, Bird's-eye view, Urban design, Residential area, City, Architecture, Urban area, Building, Suburb",Photos Eid al-Fitr prayers from the Prophet's Mosque ... # Jerusalem_ Newspaper # Makkah Al-Mukarramah # Eid Prayer,real
"Textile, Fashion accessory, Collection","Pictures of Eid Al-Fitr prayer from Asira Al-Shamalia village, Nablus Governorate",real
"Crowd, People, Public event, Event, Audience, Tree, Festival, Tourism, Pole, Plant","Photos More than 120,000 worshipers perform Eid Al-Fitr prayers at the blessed Al-Aqsa Mosque",real
"Crowd, People, Sky, City, Landscape, Tourism","Aerial photos of Eid prayers in Nuseirat camp, in the central Gaza Strip. Photo: Suleiman Hajji",real
"Green, Silhouette, Fun, Photography, Recreation, Shadow, Gesture",At a depth of 5 meters below the sea surface you will enjoy your meal and contemplate the marine life. This is no longer a fantasy .. The Norwegian restaurant was opened a few weeks ago and is the only underwater restaurant in Europe and it is the largest of its kind in the world .. The cost of the meal is about 230 euros .. # Al-Quds Newspaper # Palestine # Miscellaneous,fake
"Social group, People, Team, Event, Youth, Community, Fun, Crowd, Leisure, Metal","In Gaza, graduates from several exchange programs in America participated in a wonderful training course on the characteristics of the leadership character, then they sat together for a group breakfast. The training focused on building team spirit and on enhancing the leadership character of the participants. Ramadan Kareem from Gaza!",fake
"Lighting, Night, Light, Light fixture, Street light, Street, Infrastructure, City, Electricity, Building","Our colleague Peter loves photography and is very talented! They viewed the picture from old Jerusalem, and it is decorated in Ramadan. Anyone know what is the name of the region in the picture?",fake
"Youth, Learning, Community, Student, Event, Table, Design, Room, Conversation, Technology","The American House staff in Jerusalem organized a very beautiful event for students interested in English and technology. Participate in the Q&amp;A competition, draw with 3D technology, and have breakfast together",fake
"Social group, People, Event, Youth, Community, Team, Friendship, Fun, Smile, Ceremony","A group of wonderful college students gathered together at a Ramadan Iftar dinner organized by the American House in Ramallah. Before the start of Iftar, everyone participated in a set of competitions to improve their English skills. Wonderful students.",real  
"Learning, Youth, Design, Organism, Student, Technology, Child, Leisure, Education, Science",Do you want to learn English? Do you want to take advantage of the summer vacation? Registration began for the AMIDEAST English language training program for children aged 6-16. Faster and score as soon as possible.,fake
"People, Event, Crowd, Selfie, Team, Night, Photography, Performance, Metal, Tourism","A wonderful meeting with graduates of our programs from the Jenin region, during which we talked about ways to cooperate in the future and educational opportunities in America. Then we ate breakfast. You were wonderful and a very sweet baby.",fake
"Water, Event, Liqueur, Drink, Smile, Distilled beverage, Tourism, Beer","Thank you very much, Safaa, for this beautiful gift - the Lantern of Ramadan. Show you the most beautiful of this gift in Ramadan. You and everyone are well and healthy",real
"People, Social group, Youth, Cool, Friendship, Fun, Community, Event, Team, Human","Let's go to the market - a Ramadan cultural activity by 20 Axis Gaza students. The students formed three teams, made a program, bought the ingredients and then cooked three types of food, upside down, grilled chicken, and pizza. And this was a carefree breakfast and their colleagues. What do you think was the best cook?",fake 
"Meal, Lunch, Dinner, Event, Supper, Fun, Brunch, Conversation, Food, Table","Employees of the Palestinian Affairs Department at breakfast with a number of women entrepreneurs from Gaza before the annual bazaar in the Hotel / Ambassador Hotel, where women presented their wonderful goods and the turnout at the exhibition was also wonderful",real
"Outerwear, Smile, Happy",Our colleague Jenny bought some of the products manufactured in Gaza that were shown by the pioneering women participating in the annual bazaar in Jerusalem. Great and beautiful products. Happy happy happy happy women,real
"Social group, People, Event, Youth, Team, Community, Crowd, Audience, Performance, Choir","Graduates of our cultural exchange programs from Gaza met together, spent a wonderful time and discussed possible future projects",fake
"Mammal, Vertebrate, Lion, Felidae, Wildlife, Masai lion, Terrestrial animal, Big cats, Carnivore, Mane",A lion plays in the snow at a zoo in the United States,real
"Sky, Photography, Temple, Tourism, Leisure, Happy, Smile",Amal Kumail is a student at the Faculty of Computer Engineering at the Arab American University in Jenin. It is also a pioneer in one of the institutions of the pioneering project &quot;Keramalek&quot; in the field of cosmetology. We met there yesterday during our visit to the university. Do you have a legitimate idea?,fake
"Facial expression, Scarf, Smile, Neck, Shawl, Adaptation, Tree, Plant, Fashion accessory, Happy","Safaa Qalalwa is a student of multimedia at the Faculty of Computer Engineering and Information Technology at the Arab American University in Jenin. She and her pioneering colleagues founded a startup as Karmalik to make it easier for people to reach beauty salons and make a comparison between them in terms of services, products and prices. Wonderful",fake
"Tree, Adaptation, Smile, Neck, Plant, Vacation, Leisure, Woodland, Fashion accessory, Fawn","Hana Zakarneh is a wonderful student studying computer engineering at the Arab American University in Jenin. She is also one of the amazing women entrepreneurs we met at the university. Hana and her team work on a great pioneering project to facilitate access to and comparison of beauty centers in terms of services, prices and products.",fake 
"Vegetation, Flower, Wildflower, Plant, Yellow, Plant community, Spring, Landscape, Meadow, Shrubland","Who knows this picture site? Do you need help? An ancient city located to the north of Nablus, famous for its mayor and Roman amphitheater.",fake
"Job, Training, Community, Youth, Event, Classroom, Room, Learning, Class, Organism","Do you want your children to benefit in the summer vacation? Do you also want to improve their English language skills? Quantity is only the center of the AMIDEAST. Courses start soon, hurry up to register.",fake
"People, Youth, Snapshot, Community, Fashion, Fun, Cool, Event, Smile, Child","In addition to learning English, Alexis students also learn to develop their other skills. In the picture, students are trained in leadership development skills and team work. Excellent Axis students",real
"Camera, Cameras & optics, Camera operator, Filmmaking, Photograph, Videographer, Photographer, Cinematographer, Camera accessory, Photography","As part of our focus on entrepreneurship, we talked to Dr. Alungi, a teacher from Miami-Dade County, Florida and a Fulbright Distinguished Teaching Leader who works with Palestinian students and educators this summer on the topic of entrepreneurship. Watch the video soon to learn more about what entrepreneurship is and how to start developing your ideas!",fake 
"Social group, Event, Team, Community, Family, Tourism, Art",What are the best ways to encourage graduates and get them to be more active? . This was the subject of discussion with a group of graduates from various US programs from Gaza. You love to participate in activities and programs in your community?,fake
"Social group, Team, People, Youth, Community, Event, Fun, Smile, Crew, Student","0 Students from the Gaza Strip attended two workshops organized by graduate of Access, Bader Al-Zahrana, and spoke to students about the skills and initiatives of leaders and future engineers. Thank you Badr for the kind initiative and the students sure have benefited from your experiences.",real
"Social group, Team, People, Community, Youth, Event, Student, Family reunion","The Future Engineers Club in Gaza set up an engineering summer camp targeting students from 14-16 years of age with a specialization in engineering. The club aims to increase their knowledge of the various disciplines in the field of engineering, its types and its future work fields. This was through theoretical subjects given by trainers from the College of Engineering. Sure, we'll see creative engineers from them, good luck!",fake 
"Team, Cheering, Youth, Championship, Competition event, Fun, Competition, World, Gesture, T-shirt",Congratulations for winning the FIFA Women's World Cup. Very proud of the American team and the players of the World Cup-winning team. Who do you know who the other party was in the final?,real
"Musical instrument, Brass instrument, Wind instrument, Trombonist, Types of trombone, Trombone, Flugelhorn, Alto horn, Sackbut, Sousaphone","What is the musical instrument you love the most? During their visit to the American home to see the music show for the US Naval Band, Alexis students tried to play some musical instruments. In the picture, one of the attempts by a student of Axis.",real
"Social group, Community, Youth, Team, Friendship, Event, Student, Class, Child, Room","The summer camp to learn English in AMIDEAST is going on, in the picture some students participating in the camp are from Nablus.",real 
"Wilderness, Standing, Tree, Botany, Rock, Vacation, Forest, Footwear, Leg, Mountain",Muhammed Murtaja from Gaza arrived in the United States to start his studies as part of a scholarship awarded to Lincoln at the University of Tennessee. Muhammad I love nature. They saw his picture after touring the mountains near his university. Mowaffaq Muhammad.,real
"Social group, Team, Youth, Community, Event, Friendship, Class, Student, Smile","Congratulations to the 75 students of Gaza who have completed three days of practical and theoretical training in the field of medicine and engineering, within the Medical Technical Camp in Gaza. Good luck",real
"Child, Identity document, Smile",Photo of participants at the English language camp in Amideast. Why do you think it is important that we learn English? People are people,real
"Skyscraper, Metropolitan area, Tower block, City, Urban area, Cityscape, Skyline, Architecture, Human settlement, Daytime","Do you know that the state of Michigan includes the largest Arab community in the United States? Check out the photo of the Renaissance Center in Detroit, Michigan.",fake
"Social group, Event, Community, Ceremony, Team, Tourism",Congratulations to the graduates of the 120-hour English language training and teaching program at the American House. Congratulations and forward,fake
"Diploma, Event, Graduation, Scholar, Academic certificate, Academic dress, Mortarboard, Uniform","It was a wonderful day at the Ramallah Cultural Palace. Today, 200 students graduated from the Axis 13 program, and the students were from Ramallah, Nablus, Jenin, and Qalqilya. Today students have completed two great years of English learning and participating in community service and volunteer projects. Congratulations, students.",real
"Calligraphy, Art","Aseel from Jerusalem, however, she improved her English through a course at the American House, and she also worked on a free small library project. Learn more about this project through a video that will soon be uploaded to our Facebook page. Bravo Aseel!",fake 
"Student, Fun, Room, Child, Happy, Smile, Learning, Class",Learning English in the Amideast is both knowledge and fun.,fake
"People, Social group, Event, Convention, Audience, Crowd, Team, Academic conference, Seminar, Room","It was a wonderful day for ACCESS students from Gaza. The graduation day of the cohort 13 after two years of studying English. Congratulations, Access by surprise! People people person",real
"Fashion, Event, Fun, Footwear, Performance, Fashion design, Dance, Costume, Shoe, Fashion show","Access talent continues, and this time from Gaza. The Dabkeh clause at the Axis 13 graduation ceremony in Gaza was impressive and won everyone's approval. Bravo Access Gaza!",fake
"Polar bear, Bear, Arctic, Polar ice cap, Arctic ocean, Natural environment, Ice, Ocean, Polar bear, Sea ice","A picture of a polar bears in the US state of Alaska, which is covered in snow most of the year.",real
"Botany, Spring, Plant, Garden, Flower, Sign, Grass, Tree, Landscaping, real estate",Muhammad Al-Kahlout from Gaza received a scholarship to study at Boston University. Muhammad visited several places in Boston and learned about the university's plan to obtain a green university. Good luck Muhammad!,fake
"Social group, People, Facial expression, Team, Youth, Cheering, Crowd, Community, Selfie, Fun",The Exploration Journey is a summer program with small grants through which 53 Axis graduates enjoyed a journey that they spent teaching and exploring in historical places in Gaza. A wonderful program and wonderful students! People people person,real
"City, Metropolitan area, Urban area, Skyscraper, Daytime, Sky, Downtown, Building, Human settlement, Architecture","Picture of the city of Minneapolis in the state of Minnesota, USA. It is famous for its many parks and lakes, in addition to cultural centers. beautiful city!",real
"Youth, Community, Sitting, Design, Team, Learning, Child, Adaptation, Hand, Student","Skills of obtaining leadership personality are among the things that the Access to English Language Program has focused on. In the photo, students from Axis Jericho during a workshop to develop the character's leadership skill. People people people",real 
"Social group, People, Team, Event, Tourism, Family","Saif Azzam got acquainted with the Yas cultural exchange program last year and lived for a year in South Dakota, USA. His experience was remarkable and he considered it a turning point in his life. Last week, Saif and his Palestinian family hosted their American family, and the two families got to know each other. Good luck, Saif! People are people",real 
"People, Social group, Youth, Community, Event, Friendship, T-shirt, Team, Fun, Tree","7 Alexis students launched a wonderful initiative by visiting the elderly house of the Red Crescent Society in Nablus. It was a volunteer day, during which they cleaned and decorated the house and garden, planted roses and trees, and also sat with the elderly and shared them with folk singing, and heard from them about their experiences and experiences in life. Adorable students of Access Nablus! People are people",real 
"Photograph, Grass, Snapshot, Lawn, Fashion, Botany, Suit, Tourism, Photography, Formal wear","Nada from Gaza participated last summer in the TechGirls program in America, where she worked in companies specialized in technology, visited the University of Washington and obtained a special tour there at the NASA Center for Studies. She also trained at the University of Virginia in the field of Java programming language and network security, good luck Nada!",fake
"Face, Gelato, Yellow, Ice cream, Lip, Frozen dessert, Smile, Food, Dairy, Ice cream cone",Today Catherine tried the distinctive Arab ice cream in Ramallah and she loved it very much. Two health foods!,real
"People, Social group, Team, Community, Youth, Event, Selfie, Student, Photography, Child","Out of their belief in the duty of everyone to serve the community, 4 Axis Gaza graduates conducted a 3-day workshop, aimed at raising awareness of the importance of volunteering and its impact, and how it could positively affect society. Who participated in volunteer work before? Tell us?",fake
"Wave, Surfing Equipment, Wind wave, Surfing, Surfboard, Boardsport, Skimboarding, Surface water sports, Wakesurfing, Tide",Surfing is popular with many beach goers. The picture is from a beach in the Pacific Ocean in California,real
"City, Cityscape, Skyline, Metropolitan area, Urban area, Landmark, Sky, Night, Human settlement, Bridge",Great night view of downtown Minnesota on the banks of the Mississippi River,real
"Social group, People, Community, Team, Youth, Event, Fun, Art, Visual arts, Child","With activities that included arts, culture, crafts, and activities in the basics of technology and the English language, participants in a project from Axis students and other school students - as part of a small grant project targeting cerebral palsy patients - enjoyed a fun atmosphere full of learning and joy. We are very proud of the wonderful work they have done.",fake
"Food, Dish, Cuisine, Comfort food, Meal, Eating, Ingredient, Food craving, Lunch",Msakhan is the Palestinian food that Catherine loved. We will try it today with kindness. What is your favorite meal?,real
"Social group, People, Community, Youth, Event, Team, Tree, Botany, Fun, Spring","A unique initiative for children led by graduates of Access Gaza. Our Alexis alumni helped 20 children from Gaza learn some English language phrases through drawing, playing and having fun. Bravo, graduates for this great initiative. Join us in initiatives we can do in the future?",fake 
"People, Iron, Community, Event, Tourism, Team, Fun, Architecture, real estate, House","During her studies in Portland on the Fulbright Program, Rand visited colleagues from various countries, a chocolate factory, on the occasion of World Chocolate Day, and they made their own chocolate. Who do you love chocolate?",fake
"City, Cityscape, Metropolitan area, Urban area, Skyscraper, Metropolis, Skyline, Daytime, Tower block, Human settlement","An image of Dallas, Texas, appears in the plaza, the tallest building in the city with 72 floors. Photo by Carol M. Highsmith / Library of Congress",real 
"Urban area, Metropolitan area, City, Neighbourhood, Town, Human settlement, Residential area, Traffic, Metropolis, Building",Good morning from Nablus,fake
"People, Social group, Purple, Team, Community, Youth, Selfie, Smile, Human, Event","Bravo, Access 14 students from Gaza. Within the community work, this week, they cleaned and painted the stairs in a public park in Gaza. These activities develop the spirit of volunteering, community service and leadership in students.",fake
"People, Botany, Adaptation, Tree, Leisure, Tourism, Recreation, Musical instrument, Idiophone",Express students and employees from the Palestinian Affairs Department on a volunteer and community service day at a date farm in Al-Auja,fake
"Road, Nature, Natural landscape, Tree, Leaf, Autumn, Sky, Mountain, Wilderness, Yellow","The cool autumn colors appear in a picture of Tim Brown, a photographer for a street in New York State, USA.",real
"Social group, Team, Youth, Event, Community, Design, Tourism, Job, Student, Party","Are you between 22-25 looking for a job? Do you want to develop your job skills to start a new job? AMIDEAST offers the solution through a four-month program, you will get the course and then get practical training in one of the Palestinian companies or institutions.",fake
"Flag of the united states, Flag Day (USA), Veterans day, Clip art, Independence day, Line, Memorial day, Columbus day, Font, Games","Today we celebrate Columbus Day, discovering America every year, and you are fine",fake
"Metropolitan area, Cityscape, City, Urban area, Skyline, Skyscraper, Daytime, Tower block, Architecture, Landmark","Photo of the Sagittarius Gate in St. Louis, Missouri. The portal is a 192-meter-long memorial in St. Louis, Missouri, USA.",real 
"People, Social group, Youth, Community, Mural, Wall, Team, Friendship, Street art, Art","Wow, community service activity by Alexis students in Gaza last week. The students participated as a team to draw on a wall in one of the Gaza regions. Great students",fake
"People, Face, Facial expression, Social group, Community, Youth, Friendship, Smile, Cool, Tree","85 of the Alexis students from Nablus participated in some of the farmers of Asira Al Shamalia in the olive harvest, as part of the community service program in which the students were performing alongside their studies of the English roll, wonderful students!",fake
"Social group, Community, Youth, Event, Friendship, Tree, Tourism, Leisure, Recreation, Plant",The olive harvest season is continuing and our wonderful Axis students continue to help the citizens pick olives. Check out the photos of our students from Gaza!,fake
"Social group, People, Youth, Friendship, Community, Event, Team, Fun, Happy, Smile","Halloween is an American holiday, students of Alexis learn English and violently about American culture, and students of Jericho had an event on the occasion of this Eid. They saw the picture, and our students did know about Halloween.",fake
"Social group, People, Community, Wilderness, Geology, Tree, Team, Soil, Tourism, Adaptation","Today we were very happy, and we participate graduates from the Fulbright Masters Program in America, from the West Bank and Gaza, in a hiking and beautifying event in the Battir region. This volunteer event was great for deepening friendship between the graduates. Wonderful!",fake
"People, Social group, Team, Selfie, Community, Youth, Fun, Friendship, Smile, Photography","Today's wonderful walking tour in Qalqilya included an olive harvest event to help farmers. Alexis students enjoyed nature, picked olives, and also ate a Palestinian tomato frying pan. Wonderful students.",fake 
"Yellow, Advertising, Banner, Event, World, Tourism","Because we are very proud of the achievements of our Alexis graduates, we shared with them a celebration to honor students who achieved high results under the guidance. Congratulations on top of it",fake 
"Social group, Youth, Community, Team, Event, Fun, Art, Photography, Leisure",Our wonderful Alexis students from Qalqilya volunteered at the fourth annual Guava Festival in Medina. This was their activity for community service. Wonderful!,fake
"Community, Event, Team, Friendship, Lunch, Meal, Food, Brunch, Cuisine",Our wonderful Alexis students from Tulkarm celebrated Halloween by designing Halloween costumes and organizing a small party. The Access program is important for improving the English language and getting to know other cultures. Wonderful!,fake 
"Social group, Youth, Event, Team, Community, Tourism, Crowd","The wonderful students of Axis Qalqilya celebrated Halloween this year. They started designing Halloween costumes after a small party. In addition to teaching them the English language, the ACCESS program also taught them about other cultures.",fake
"Social group, People, Wilderness, Team, Community, Natural landscape, Mountain, Youth, Sky, Tree","Our great students from Access Salfit, also participated in this year’s olive picking season. In the picture, Bertahu after helping the farmers to secure a good harvest. Excellent!",real
"Community, Youth, Event, Design, Poster, Job, Architecture, Visual arts, Crowd, Student","A photo of students during the launching event of the International Week for Education at the American House in Jerusalem. During this event, we provided information on cultural, educational and professional exchange programs in America. follow us on",fake
"Social group, Youth, Event, Community, Team, Training, Student, Employment, Smile, Social work","A great picture of the Imidist students in Gaza, who are students of the English Language Club. The picture was taken during their last meeting, they exchanged their favorite books together and concluded a month of wonderful reading and discussion! Excellent students",fake
Event,The events of the International Education Week in Gaza were impressive. The picture is from the first day of events that included an explanation of educational opportunities and cultural exchange programs in America. Good luck!,fake 
"Meal, Lunch, Brunch, Event, Food, Supper, Dinner, Dish, Eating, Cuisine",Our Alexis students met together in Ramallah to share Thanksgiving meals. This holiday is an American tradition to celebrate the harvest and give thanks. happy thanks giving!,fake 
"Community, Adaptation","During the celebration of Thanksgiving, our wonderful Alexis students from Tulkarm wrote what made them thankful. In the picture, a student of Axis wrote that she was grateful for being peaceful.",fake
"Product, Community, Youth, Fun, Selfie, Passenger, Smile, Room, Event, Leisure","Our wonderful Alexis students from Qalqilya also gathered to join each other in the Thanksgiving meal that falls on Thursday. Hi, the American holiday is where people celebrate to express their gratitude for the beautiful things in their lives.",fake 
"Text, Public speaking, Orator, Adaptation, Event, Job, Professor, Spokesperson","Graduated from our Fulbright Program, Abeer won the Action Fellowship of the Fulbright Alumni Association. Her project focuses on teaching mathematics and science to new entrepreneurs. Through this grant, Abeer worked as a Green Solutions Conference and trained 50 entrepreneurs in Gaza.",fake 
"Social group, People, Youth, Yellow, Tourism, Team, Community, Sky, Leisure, Water","Our wonderful students in Nablus also celebrated Thanksgiving through the Access program, which also taught them about American culture in addition to teaching English. Wonderful.",fake
"People, Social group, Youth, Yellow, Community, Fun, Event, Smile, Photography, Selfie",Our wonderful Alexis students in Gaza celebrated Thanksgiving this year. In addition to participating in Thanksgiving dinner. They also designed posters for the sweet occasion. Wonderful!,fake 
"Meal, Lunch, Restaurant, Event, Crowd, Brunch, Community, Dinner, Supper, Cafeteria","Our wonderful Alexis students from Jerusalem celebrated Thanksgiving with a wonderful evening, during which they listened to an explanation of this American occasion. And they made special posters for Thanksgiving. Wonderful!",fake
